url,name,Parking Spaces,Floor Size,Garden,Listing Number,Type of Property,Listing Date,Pets Allowed,Reception Rooms,Erf Size,Pool,price2,address,days_since_listing,Bedrooms2,Bathrooms2,Garages,Parking
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114754122,1 Bedroom Apartment / Flat for Sale,1.0,41.0,No,114754122.0,Apartment / Flat,2024-08-05,Yes,0.0,41.0,Yes,1150000,Sandown,2,1.0,1.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/112266844,4 Bedroom House for Sale,4.0,272.0,Yes,112266844.0,House,2024-08-05,Yes,0.0,325.0,Yes,4850000,Sandown,2,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114731356,3 Bedroom Apartment / Flat for Sale,2.0,109.0,No,114731356.0,Apartment / Flat,2024-07-30,Yes,0.0,109.0,Yes,2080000,Sandown,8,3.0,2.0,0.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114744165,3 Bedroom Apartment / Flat for Sale,2.0,113.0,No,114744165.0,Apartment / Flat,2024-08-02,Yes,0.0,113.0,No,1879500,Sandown,5,3.0,2.0,1.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114745793,4 Bedroom House for Sale,2.0,307.0,Yes,114745793.0,House,2024-08-02,Yes,0.0,450.0,Yes,5350000,Sandown,5,4.0,4.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114749406,2 Bedroom Apartment / Flat for Sale,2.0,72.0,No,114749406.0,Apartment / Flat,2024-08-04,,0.0,72.0,Yes,1640000,Sandown,3,2.0,2.0,0.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114741397,3 Bedroom House for Sale,3.0,135.0,No,114741397.0,House,2024-08-01,Yes,2.0,250.0,No,2750000,Sandown,6,3.0,2.0,1.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114734835,3 Bedroom House for Sale,4.0,214.0,No,114734835.0,House,2024-07-31,Yes,0.0,324.5,Yes,4250000,Sandown,7,3.0,2.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114703535,2 Bedroom Apartment / Flat for Sale,2.0,108.0,No,114703535.0,Apartment / Flat,2024-07-23,,0.0,108.0,Yes,1810000,Sandown,15,2.0,2.0,0.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114689472,3 Bedroom Townhouse for Sale,2.0,163.0,Yes,114689472.0,Townhouse,2024-07-20,No,0.0,100.0,No,2929500,Sandown,18,3.0,3.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114631842,3 Bedroom House for Sale,4.0,190.0,Yes,114631842.0,House,2024-07-08,Yes,2.0,250.0,Yes,3495000,Sandown,30,3.0,2.5,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114733345,3 Bedroom Townhouse for Sale,2.0,163.0,No,114733345.0,Townhouse,2024-07-31,Yes,0.0,,No,2929500,Sandown,7,3.0,3.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114664239,3 Bedroom Apartment / Flat for Sale,1.0,113.0,Yes,114664239.0,Apartment / Flat,2024-07-15,Yes,2.0,4862.0,No,1879500,Sandown,23,3.0,2.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114711812,4 Bedroom House for Sale,4.0,227.0,Yes,114711812.0,House,2024-07-25,Yes,0.0,250.0,No,3995000,Sandown,13,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114733283,3 Bedroom Apartment / Flat for Sale,0.0,113.0,No,114733283.0,Apartment / Flat,2024-07-31,Yes,0.0,,No,1879500,Sandown,7,3.0,1.5,0.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114592700,3 Bedroom House for Sale,4.0,190.0,Yes,114592700.0,House,2024-06-28,Yes,2.0,250.0,No,3495000,Sandown,40,3.0,2.5,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114680198,3 Bedroom House for Sale,4.0,190.0,Yes,114680198.0,House,2024-07-18,Yes,0.0,265.0,No,3100000,Sandown,20,3.0,2.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114617660,4 Bedroom House for Sale,4.0,233.0,Yes,114617660.0,House,2024-07-04,Yes,2.0,342.0,Yes,4200000,Sandown,34,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114731551,3 Bedroom House for Sale,2.0,160.0,Yes,114731551.0,House,2024-07-30,Yes,2.0,250.0,Yes,2995000,Sandown,8,3.0,2.5,1.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114735875,3 Bedroom House for Sale,4.0,198.0,Yes,114735875.0,House,2024-07-31,Yes,0.0,243.0,No,4099000,Sandown,7,3.0,2.5,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114690222,4 Bedroom House for Sale,4.0,211.0,Yes,114690222.0,House,2024-07-20,Yes,0.0,343.0,No,4450000,Sandown,18,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114707069,3 Bedroom Apartment / Flat for Sale,1.0,117.0,Yes,114707069.0,Apartment / Flat,2024-07-24,No,2.0,,No,1984500,Sandown,14,3.0,2.0,0.0,1.0
